highway,count,bus_speed,bus_allowed,foot_allowed,bus
service,24375,0,False,False,False
footway,13269,0,False,False,False
path,12437,0,False,False,False
residential,8080,0,False,False,False
track,4762,0,False,False,False
unclassified,3114,0,False,False,False
secondary,2400,0,False,False,False
tertiary,2021,0,False,False,False
steps,1453,0,False,False,False
primary,1095,0,False,False,False
living_street,1053,0,False,False,False
cycleway,987,0,False,False,False
motorway,558,0,False,False,False
motorway_link,524,0,False,False,False
platform,500,0,False,False,False
pedestrian,460,0,False,False,False
trunk,434,0,False,False,False
trunk_link,242,0,False,False,False
corridor,96,0,False,False,False
secondary_link,82,0,False,False,False
primary_link,69,0,False,False,False
tertiary_link,34,0,False,False,False
elevator,28,0,False,False,False
bus_stop,1,0,False,False,False
road,1,0,False,False,False
busway,1,0,False,False,False
